Variable,Long name,Standard name,Units
abs550aer,Ambient Aerosol Absorption Optical Thickness at 550nm,atmosphere_absorption_optical_thickness_due_to_ambient _aerosol_particles,Dimensionless
acabf,Surface Mass Balance Flux,land_ice_surface_specific_mass_balance_flux,kg m-2 s-1
acabfIs,Ice Sheet Surface Mass Balance Flux,land_ice_surface_specific_mass_balance_flux,kg m-2 s-1
aerasymbnd,Aerosol Level Asymmetry Parameter for Each Band,asymmetry_factor_of_ambient_aerosol_particles,Dimensionless
aeroptbnd,Aerosol Level Absorption Optical Thickness for Each Band,atmosphere_absorption_optical_thickness_due_to_ambient _aerosol_particles,Dimensionless
aerssabnd,Aerosol Level Single Scattering Albedo for Each Band,single_scattering_albedo_in_air_due_to_ambient_aerosol _particles,Dimensionless
agesno,Mean Age of Snow,age_of_surface_snow,day
agessc,Sea Water Age Since Surface Contact,sea_water_age_since_surface_contact,yr
airmass,Vertically Integrated Mass Content of Air in Layer,atmosphere_mass_of_air_per_unit_area,kg m-2
albc,Canopy Albedo,canopy_albedo,Dimensionless
albdiffbnd,Diffuse Surface Albedo for Each Band,surface_diffuse_shortwave_hemispherical_reflectance,Dimensionless
albdirbnd,Direct Surface Albedo for Each Band,surface_direct_shortwave_hemispherical_reflectance,Dimensionless
albisccp,ISCCP Mean Cloud Albedo,cloud_albedo,Dimensionless
albsn,Snow Albedo,surface_albedo,Dimensionless
aoanh,Northern Hemisphere Tracer Lifetime,tracer_lifetime,yr
aod550volso4,Aerosol Optical Depth at 550nm Due to Stratospheric Volcanic Aerosols,stratosphere_optical_thickness_due_to_volcanic_ambient _aerosol_particles,1.00E-09
arag,Aragonite Concentration,mole_concentration_of_aragonite_expressed_as_carbon_in _sea_water,mol m-3
aragos,Surface Aragonite Concentration,mole_concentration_of_aragonite_expressed_as_carbon_in _sea_water,mol m-3
areacella,Grid-Cell Area for Atmospheric Grid Variables,cell_area,m2
areacellg,Grid-Cell Area for Ice Sheet Variables,cell_area,m2
areacello,Grid-Cell Area for Ocean Variables,cell_area,m2
areacellr,Grid-Cell Area for River Model Variables,cell_area,m2
ares,Aerodynamic Resistance,aerodynamic_resistance,s m-1
bacc,Bacterial Carbon Concentration,mole_concentration_of_bacteria_expressed_as_carbon_in _sea_water,mol m-3
baccos,Surface Bacterial Carbon Concentration,mole_concentration_of_bacteria_expressed_as_carbon_in _sea_water,mol m-3
baresoilFrac,Bare Soil Percentage Area Coverage,area_fraction,%
basin,Region Selection Index,region,Dimensionless
bddtalk,Rate of Change of Alkalinity Due to Biological Activity,tendency_of_sea_water_alkalinity_expressed_as_mole _equivalent_due_to_biological_processes,mol m-3 s-1
bddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _carbon_in_sea_water_due_to_biological_processes,mol m-3 s-1
bddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _iron_in_sea_water_due_to_biological_processes,mol m-3 s-1
bddtdin,Rate of Change of Nitrogen Nutrient Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _nitrogen_in_sea_water_due_to_biological_processes,mol m-3 s-1
bddtdip,Rate of Change of Dissolved Phosphorus Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _phosphorus_in_sea_water_due_to_biological_processes,mol m-3 s-1
bddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,tendency_of_mole_concentration_of_dissolved_inorganic _silicon_in_sea_water_due_to_biological_processes,mol m-3 s-1
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_iron_in_sea_water,mol m-3
bfeos,Surface Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_iron_in_sea_water,mol m-3
bigthetao,Sea Water Conservative Temperature,sea_water_conservative_temperature,degC
bigthetaoga,Global Average Sea Water Conservative Temperature,sea_water_conservative_temperature,degC
bldep,Boundary Layer Depth,atmosphere_boundary_layer_thickness,m
bry,Total Inorganic Bromine Volume Mixing Ratio,mole_fraction_of_inorganic_bromine_in_air,mol mol-1
bs550aer,Aerosol Backscatter Coefficient,volume_scattering_function_of_radiative_flux_in_air_due _to_ambient_aerosol_particles,m-1 sr-1
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mole_concentration_of_particulate_matter_expressed_as _silicon_in_sea_water,mol m-3
bsios,Surface Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mole_concentration_of_particulate_organic_matter _expressed_as_silicon_in_sea_water,mol m-3
burntFractionAll,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),area_fraction,%
c2h2,C2H2 Volume Mixing Ratio,mole_fraction_of_ethyne_in_air,mol mol-1
c2h6,C2H6 Volume Mixing Ratio,mole_fraction_of_ethane_in_air,mol mol-1
c3h6,C3H6 Volume Mixing Ratio,mole_fraction_of_propene_in_air,mol mol-1
c3h8,C3H8 Volume Mixing Ratio,mole_fraction_of_propane_in_air,mol mol-1
c3PftFrac,Percentage Cover by C3 Plant Functional Type,area_fraction,%
c4PftFrac,Percentage Cover by C4 Plant Functional Type,area_fraction,%
c13Land,Mass of 13C in All Terrestrial Carbon Pools,mass_content_of_13C_in_vegetation_and_litter_and_soil _and_forestry_and_agricultural_products,kg m-2
c13Litter,Mass of 13C in Litter Pool,litter_mass_content_of_13C,kg m-2
c13Soil,Mass of 13C in Soil Pool,soil_mass_content_of_13C,kg m-2
c13Veg,Mass of 13C in Vegetation,vegetation_mass_content_of_13C,kg m-2
c14Land,Mass of 14C in All Terrestrial Carbon Pools,mass_content_of_14C_in_vegetation_and_litter_and_soil _and_forestry_and_agricultural_products,kg m-2
c14Litter,Mass of 14C in Litter Pool,litter_mass_content_of_14C,kg m-2
c14Soil,Mass of 14C in Soil Pool,soil_mass_content_of_14C,kg m-2
c14Veg,Mass of 14C in Vegetation,vegetation_mass_content_of_14C,kg m-2
calc,Calcite Concentration,mole_concentration_of_calcite_expressed_as_carbon_in _sea_water,mol m-3
calcos,Surface Calcite Concentration,mole_concentration_of_calcite_expressed_as_carbon_in _sea_water,mol m-3
ccb,Air Pressure at Convective Cloud Base,air_pressure_at_convective_cloud_base,Pa
ccldncl,Cloud Droplet Number Concentration of Convective Cloud Tops,number_concentration_of_convective_cloud_liquid_water _particles_at_convective_liquid_water_cloud_top,m-3
ccn,Cloud Condensation Nuclei Concentration at Liquid Cloud Top,number_concentration_of_cloud_condensation_nuclei_at _stp_in_air,m-3
cct,Air Pressure at Convective Cloud Top,air_pressure_at_convective_cloud_top,Pa
cCwd,Carbon Mass in Coarse Woody Debris,wood_debris_mass_content_of_carbon,kg m-2
cdnc,Cloud Liquid Droplet Number Concentration,number_concentration_of_cloud_liquid_water_particles_in _air,m-3
cfadDbze94,CloudSat Radar Reflectivity CFAD,histogram_of_equivalent_reflectivity_factor_over_height _above_reference_ellipsoid,Dimensionless
cfadLidarsr532,CALIPSO Scattering Ratio CFAD,histogram_of_backscattering_ratio_in_air_over_height _above_reference_ellipsoid,Dimensionless
cfc11,Mole Concentration of CFC11 in Sea Water,mole_concentration_of_cfc11_in_sea_water,mol m-3
cfc11global,Global Mean Mole Fraction of CFC11,mole_fraction_of_cfc11_in_air,1.00E-12
cfc12,Mole Concentration of CFC12 in Sea Water,mole_concentration_of_cfc12_in_sea_water,mol m-3
cfc12global,Global Mean Mole Fraction of CFC12,mole_fraction_of_cfc12_in_air,1.00E-12
cfc113global,Global Mean Mole Fraction of CFC113,mole_fraction_of_cfc113_in_air,1.00E-12
ch3coch3,CH3COCH3 Volume Mixing Ratio,mole_fraction_of_acetone_in_air,mol mol-1
ch4,Mole Fraction of CH4,mole_fraction_of_methane_in_air,mol mol-1
ch4Clim,Mole Fraction of CH4,mole_fraction_of_methane_in_air,mol mol-1
ch4global,Global Mean Mole Fraction of CH4,mole_fraction_of_methane_in_air,1.00E-09
ch4globalClim,Global Mean Mole Fraction of CH4,mole_fraction_of_methane_in_air,1.00E-09
cheaqpso4,Aqueous-Phase Production Rate of SO4,tendency_of_atmosphere_mass_content_of_sulfate_dry _aerosol_particles_due_to_aqueous_phase_net_chemical _production,kg m-2 s-1
chegpso4,Gas-Phase Production Rate of SO4,tendency_of_atmosphere_mass_content_of_sulfate_dry _aerosol_particles_due_to_gaseous_phase_net_chemical _production,kg m-2 s-1
chepasoa,Total Net Production of Anthropogenic Secondary Organic Aerosol,tendency_of_atmosphere_mass_content_of_secondary _particulate_organic_matter_dry_aerosol_particles_due_to _net_chemical_production,kg m-2 s-1
chepsoa,Chemical Production of Dry Aerosol Secondary Organic Matter,tendency_of_atmosphere_mass_content_of_secondary _particulate_organic_matter_dry_aerosol_particles_due_to _net_chemical_production,kg m-2 s-1
chl,Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_phytoplankton_expressed_as _chlorophyll_in_sea_water,kg m-3
chlcalc,Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_calcareous_phytoplankton _expressed_as_chlorophyll_in_sea_water,kg m-3
chlcalcos,Surface Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_calcareous_phytoplankton _expressed_as_chlorophyll_in_sea_water,kg m-3
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mass_concentration_of_diatoms_expressed_as_chlorophyll _in_sea_water,kg m-3
chldiatos,Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mass_concentration_of_diatoms_expressed_as_chlorophyll _in_sea_water,kg m-3
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mass_concentration_of_diazotrophic_phytoplankton _expressed_as_chlorophyll_in_sea_water,kg m-3
chldiazos,Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mass_concentration_of_diazotrophic_phytoplankton _expressed_as_chlorophyll_in_sea_water,kg m-3
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_miscellaneous_phytoplankton _expressed_as_chlorophyll_in_sea_water,kg m-3
chlmiscos,Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_miscellaneous_phytoplankton _expressed_as_chlorophyll_in_sea_water,kg m-3
chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_phytoplankton_expressed_as _chlorophyll_in_sea_water,kg m-3
chlpico,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_picophytoplankton_expressed_as _chlorophyll_in_sea_water,kg m-3
chlpicoos,Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_picophytoplankton_expressed_as _chlorophyll_in_sea_water,kg m-3
ci,Fraction of Time Convection Occurs in Cell,convection_time_fraction,Dimensionless
cl,Percentage Cloud Cover,cloud_area_fraction_in_atmosphere_layer,%
cLand,Total Carbon in All Terrestrial Carbon Pools,mass_content_of_carbon_in_vegetation_and_litter_and _soil_and_forestry_and_agricultural_products,kg m-2
clayfrac,Clay Fraction,volume_fraction_of_clay_in_soil,Dimensionless
clc,Convective Cloud Area Percentage,convective_cloud_area_fraction_in_atmosphere_layer,%
clcalipso,CALIPSO Percentage Cloud Cover,cloud_area_fraction_in_atmosphere_layer,%
clcalipso2,CALIPSO Cloud Cover Percentage Undetected by CloudSat (as Percentage of Area Covered),cloud_area_fraction_in_atmosphere_layer,%
clcalipsoice,CALIPSO Ice Cloud Percentage,ice_cloud_area_fraction_in_atmosphere_layer,%
clcalipsoliq,CALIPSO Liquid Cloud Percentage,liquid_water_cloud_area_fraction_in_atmosphere_layer,%
cldicemxrat27,Cloud Ice Mixing Ratio,cloud_ice_mixing_ratio,Dimensionless
cldnci,Ice Crystal Number Concentration of Cloud Tops,number_concentration_of_ice_crystals_in_air_at_ice _cloud_top,m-3
cldncl,Cloud Droplet Number Concentration of Cloud Tops,number_concentration_of_cloud_liquid_water_particles_in _air_at_liquid_water_cloud_top,m-3
cldnvi,Column Integrated Cloud Droplet Number,atmosphere_number_content_of_cloud_droplets,m-2
cldwatmxrat27,Cloud Water Mixing Ratio,cloud_liquid_water_mixing_ratio,Dimensionless
cLeaf,Carbon Mass in Leaves,leaf_mass_content_of_carbon,kg m-2
clhcalipso,CALIPSO High Level Cloud Area Percentage,cloud_area_fraction_in_atmosphere_layer,%
cli,Mass Fraction of Cloud Ice,mass_fraction_of_cloud_ice_in_air,kg kg-1
clic,Mass Fraction of Convective Cloud Ice,mass_fraction_of_convective_cloud_ice_in_air,Dimensionless
climodis,MODIS Ice Cloud Area Percentage,ice_cloud_area_fraction,%
clis,Mass Fraction of Stratiform Cloud Ice,mass_fraction_of_stratiform_cloud_ice_in_air,Dimensionless
clisccp,ISCCP Cloud Area Percentage,cloud_area_fraction_in_atmosphere_layer,%
cLitter,Carbon Mass in Litter Pool,litter_mass_content_of_carbon,kg m-2
cLitterAbove,Carbon Mass in Above-Ground Litter,surface_litter_mass_content_of_carbon,kg m-2
cLitterBelow,Carbon Mass in Below-Ground Litter,subsurface_litter_mass_content_of_carbon,kg m-2
cLitterCwd,Carbon Mass in Coarse Woody Debris,wood_debris_mass_content_of_carbon,kg m-2
cLitterGrass,Carbon Mass in Litter on Grass Tiles,litter_mass_content_of_carbon,kg m-2
cLitterLut,Carbon in Above and Below-Ground Litter Pools on Land-Use Tiles,litter_mass_content_of_carbon,kg m-2
cLitterShrub,Carbon Mass in Litter on Shrub Tiles,litter_mass_content_of_carbon,kg m-2
cLitterSubSurf,Carbon Mass in Below-Ground Litter,subsurface_litter_mass_content_of_carbon,kg m-2
cLitterSurf,Carbon Mass in Above-Ground Litter,surface_litter_mass_content_of_carbon,kg m-2
cLitterTree,Carbon Mass in Litter on Tree Tiles,litter_mass_content_of_carbon,kg m-2
clivi,Ice Water Path,atmosphere_mass_content_of_cloud_ice,kg m-2
clivic,Convective Ice Water Path,atmosphere_mass_content_of_convective_cloud_ice,kg m-2
cllcalipso,CALIPSO Low Level Cloud Cover Percentage,cloud_area_fraction_in_atmosphere_layer,%
clmcalipso,CALIPSO Mid Level Cloud Cover Percentage,cloud_area_fraction_in_atmosphere_layer,%
clmisr,Percentage Cloud Cover as Calculated by the MISR Simulator (Including Error Flag),cloud_area_fraction_in_atmosphere_layer,%
cls,Percentage Cover of Stratiform Cloud,stratiform_cloud_area_fraction_in_atmosphere_layer,%
clt,Total Cloud Cover Percentage,cloud_area_fraction,%
cltc,Convective Cloud Cover Percentage,convective_cloud_area_fraction,%
cltcalipso,CALIPSO Total Cloud Cover Percentage,cloud_area_fraction,%
cltisccp,ISCCP Total Cloud Cover Percentage,cloud_area_fraction,%
cltmodis,MODIS Total Cloud Cover Percentage,cloud_area_fraction,%
clw,Mass Fraction of Cloud Liquid Water,mass_fraction_of_cloud_liquid_water_in_air,kg kg-1
clwc,Mass Fraction of Convective Cloud Liquid Water,mass_fraction_of_convective_cloud_liquid_water_in_air,Dimensionless
clwmodis,MODIS Liquid Cloud Percentage,liquid_water_cloud_area_fraction,%
clws,Mass Fraction of Stratiform Cloud Liquid Water,mass_fraction_of_stratiform_cloud_liquid_water_in_air,Dimensionless
clwvi,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,kg m-2
clwvic,Convective Condensed Water Path,atmosphere_mass_content_of_convective_cloud_condensed _water,kg m-2
cly,Total Inorganic Chlorine Volume Mixing Ratio,mole_fraction_of_inorganic_chlorine_in_air,mol mol-1
cMisc,Carbon Mass in Other Living Compartments on Land,miscellaneous_living_matter_mass_content_of_carbon,kg m-2
cnc,Canopy Covered Area Percentage,vegetation_area_fraction,%
co,CO Volume Mixing Ratio,mole_fraction_of_carbon_monoxide_in_air,mol mol-1
co2,Mole Fraction of CO2,mole_fraction_of_carbon_dioxide_in_air,mol mol-1
co2Clim,Mole Fraction of CO2,mole_fraction_of_carbon_dioxide_in_air,mol mol-1
co2mass,Total Atmospheric Mass of CO2,atmosphere_mass_of_carbon_dioxide,kg
co2massClim,Total Atmospheric Mass of CO2,atmosphere_mass_of_carbon_dioxide,kg
co2s,Atmosphere CO2,mole_fraction_of_carbon_dioxide_in_air,1.00E-06
co3,Carbonate Ion Concentration,mole_concentration_of_carbonate_expressed_as_carbon_in _sea_water,mol m-3
co3abio,Abiotic Carbonate Ion Concentration,mole_concentration_of_carbonate_abiotic_analogue _expressed_as_carbon_in_sea_water,mol m-3
co3abioos,Surface Abiotic Carbonate Ion Concentration,mole_concentration_of_carbonate_abiotic_analogue _expressed_as_carbon_in_sea_water,mol m-3
co3nat,Natural Carbonate Ion Concentration,mole_concentration_of_carbonate_natural_analogue _expressed_as_carbon_in_sea_water,mol m-3
co3natos,Surface Natural Carbonate Ion Concentration,mole_concentration_of_carbonate_natural_analogue _expressed_as_carbon_in_sea_water,mol m-3
co3os,Surface Carbonate Ion Concentration,mole_concentration_of_carbonate_expressed_as_carbon_in _sea_water,mol m-3
co3satarag,Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mole_concentration_of_carbonate_expressed_as_carbon_at _equilibrium_with_pure_aragonite_in_sea_water,mol m-3
co3sataragos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Aragonite in Sea Water,mole_concentration_of_carbonate_expressed_as_carbon_at _equilibrium_with_pure_aragonite_in_sea_water,mol m-3
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mole_concentration_of_carbonate_expressed_as_carbon_at _equilibrium_with_pure_calcite_in_sea_water,mol m-3
co3satcalcos,Surface Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mole_concentration_of_carbonate_expressed_as_carbon_at _equilibrium_with_pure_calcite_in_sea_water,mol m-3
co23D,3D-Field of Transported CO2,mass_fraction_of_carbon_dioxide_tracer_in_air,kg kg-1
cod,Cloud Optical Depth,atmosphere_optical_thickness_due_to_cloud,Dimensionless
columnmassflux,Column Integrated Mass Flux,atmosphere_net_upward_convective_mass_flux,kg m-2 s-1
conccmcn,Number Concentration Coarse Mode Aerosol,number_concentration_of_coarse_mode_ambient_aerosol _particles_in_air,m-3
conccn,Aerosol Number Concentration,number_concentration_of_ambient_aerosol_particles_in _air,m-3
concdust,Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,kg m-3
concnmcn,Number Concentration of Nucleation Mode Aerosol,number_concentration_of_nucleation_mode_ambient_aerosol _particles_in_air,m-3
cOther,"Carbon Mass in Vegetation Components Other than Leaves, Stems and Roots",miscellaneous_living_matter_mass_content_of_carbon,kg m-2
cProduct,Carbon Mass in Products of Land-Use Change,carbon_mass_content_of_forestry_and_agricultural _products,kg m-2
cProductLut,Wood and Agricultural Product Pool Carbon Associated with Land-Use Tiles,carbon_mass_content_of_forestry_and_agricultural _products,kg m-2
cRoot,Carbon Mass in Roots,root_mass_content_of_carbon,kg m-2
cropFrac,Percentage Crop Cover,area_fraction,%
cropFracC3,Percentage Cover by C3 Crops,area_fraction,%
cropFracC4,Percentage Cover by C4 Crops,area_fraction,%
cSoil,Carbon Mass in Model Soil Pool,soil_mass_content_of_carbon,kg m-2
cSoilAbove1m,Carbon Mass in Soil Pool Above 1m Depth,soil_mass_content_of_carbon,kg m-2
cSoilFast,Carbon Mass in Fast Soil Pool,fast_soil_pool_mass_content_of_carbon,kg m-2
cSoilGrass,Carbon Mass in Soil on Grass Tiles,soil_mass_content_of_carbon,kg m-2
cSoilLevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),soil_mass_content_of_carbon,kg m-2
cSoilLut,Carbon in Soil Pool on Land-Use Tiles,soil_mass_content_of_carbon,kg m-2
cSoilMedium,Carbon Mass in Medium Soil Pool,medium_soil_pool_mass_content_of_carbon,kg m-2
cSoilPools,Carbon Mass in Each Model Soil Pool (Summed over Vertical Levels),soil_mass_content_of_carbon,kg m-2
cSoilShrub,Carbon Mass in Soil on Shrub Tiles,soil_mass_content_of_carbon,kg m-2
cSoilSlow,Carbon Mass in Slow Soil Pool,slow_soil_pool_mass_content_of_carbon,kg m-2
cSoilTree,Carbon Mass in Soil on Tree Tiles,soil_mass_content_of_carbon,kg m-2
cStem,Carbon Mass in Stem,stem_mass_content_of_carbon,kg m-2
cTotFireLut,"Total Carbon Loss from Natural and Managed Fire on Land-Use Tile, Including Deforestation Fires [kgC m-2 s-1]",surface_upward_mass_flux_of_carbon_dioxide_expressed_as _carbon_due_to_emission_from_fires,kg m-2 s-1
cVeg,Carbon Mass in Vegetation,vegetation_carbon_content,kg m-2
cVegGrass,Carbon Mass in Vegetation on Grass Tiles,vegetation_carbon_content,kg m-2
cVegLut,Carbon in Vegetation on Land-Use Tiles,vegetation_carbon_content,kg m-2
cVegShrub,Carbon Mass in Vegetation on Shrub Tiles,vegetation_carbon_content,kg m-2
cVegTree,Carbon Mass in Vegetation on Tree Tiles,vegetation_carbon_content,kg m-2
cw,Total Canopy Water Storage,canopy_water_amount,kg m-2
cWood,Carbon Mass in Wood,stem_mass_content_of_carbon,kg m-2
darag,Aragonite Dissolution,tendency_of_mole_concentration_of_aragonite_expressed _as_carbon_in_sea_water_due_to_dissolution,mol m-3 s-1
dcalc,Calcite Dissolution,tendency_of_mole_concentration_of_calcite_expressed_as _carbon_in_sea_water_due_to_dissolution,mol m-3 s-1
dcw,Change in Interception Storage,change_over_time_in_canopy_water_amount,kg m-2
demc,Convective Cloud Emissivity,convective_cloud_longwave_emissivity,Dimensionless
dems,Stratiform Cloud Emissivity,stratiform_cloud_longwave_emissivity,Dimensionless
depdust,Total Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry _aerosol_particles_due_to_deposition,kg m-2 s-1
deptho,Sea Floor Depth Below Geoid,sea_floor_depth_below_geoid,m
detoc,Detrital Organic Carbon Concentration,mole_concentration_of_organic_detritus_expressed_as _carbon_in_sea_water,mol m-3
detocos,Surface Detrital Organic Carbon Concentration,mole_concentration_of_organic_detritus_expressed_as _carbon_in_sea_water,mol m-3
dfe,Dissolved Iron Concentration,mole_concentration_of_dissolved_iron_in_sea_water,mol m-3
dfeos,Surface Dissolved Iron Concentration,mole_concentration_of_dissolved_iron_in_sea_water,mol m-3
dgw,Change in Groundwater,change_over_time_in_groundwater_amount,kg m-2
diabdrag,Tendency of Eastward Wind from Numerical Artefacts,tendency_of_eastward_wind_due_to_numerical_artefacts,m s-2
difmxybo,Ocean Momentum XY Biharmonic Diffusivity,ocean_momentum_xy_biharmonic_diffusivity,m4 s-1
difmxybo2d,Ocean Momentum XY Biharmonic Diffusivity,ocean_momentum_xy_biharmonic_diffusivity,m4 s-1
difmxylo,Ocean Momentum XY Laplacian Diffusivity,ocean_momentum_xy_laplacian_diffusivity,m2 s-1
difmxylo2d,Ocean Momentum XY Laplacian Diffusivity,ocean_momentum_xy_laplacian_diffusivity,m2 s-1
diftrbbo,Ocean Tracer Bolus Biharmonic Diffusivity,ocean_tracer_biharmonic_diffusivity_due_to _parameterized_mesoscale_eddy_advection,m4 s-1
diftrbbo2d,Ocean Tracer Bolus Biharmonic Diffusivity,ocean_tracer_biharmonic_diffusivity_due_to _parameterized_mesoscale_eddy_advection,m4 s-1
diftrblo,Ocean Tracer Diffusivity Due to Parameterized Mesoscale Advection,ocean_tracer_laplacian_diffusivity_due_to_parameterized _mesoscale_eddy_advection,m2 s-1
diftrblo2d,Ocean Tracer Diffusivity Due to Parameterized Mesoscale Advection,ocean_tracer_laplacian_diffusivity_due_to_parameterized _mesoscale_eddy_advection,m2 s-1
diftrebo,Ocean Tracer Epineutral Biharmonic Diffusivity,ocean_tracer_epineutral_biharmonic_diffusivity,m4 s-1
diftrebo2d,Ocean Tracer Epineutral Biharmonic Diffusivity,ocean_tracer_epineutral_biharmonic_diffusivity,m4 s-1
diftrelo,Ocean Tracer Epineutral Laplacian Diffusivity,ocean_tracer_epineutral_laplacian_diffusivity,m2 s-1
diftrelo2d,Ocean Tracer Epineutral Laplacian Diffusivity,ocean_tracer_epineutral_laplacian_diffusivity,m2 s-1
diftrxybo,Ocean Tracer XY Biharmonic Diffusivity,ocean_tracer_xy_biharmonic_diffusivity,m4 s-1
diftrxybo2d,Ocean Tracer XY Biharmonic Diffusivity,ocean_tracer_xy_biharmonic_diffusivity,m4 s-1
diftrxylo,Ocean Tracer XY Laplacian Diffusivity,ocean_tracer_xy_laplacian_diffusivity,m2 s-1
diftrxylo2d,Ocean Tracer XY Laplacian Diffusivity,ocean_tracer_xy_laplacian_diffusivity,m2 s-1
difvho,Ocean Vertical Heat Diffusivity,ocean_vertical_heat_diffusivity,m2 s-1
difvmbo,Ocean Vertical Momentum Diffusivity Due to Background,ocean_vertical_momentum_diffusivity_due_to_background,m2 s-1
difvmfdo,Ocean Vertical Momentum Diffusivity Due to Form Drag,ocean_vertical_momentum_diffusivity_due_to_form_drag,m2 s-1
difvmo,Ocean Vertical Momentum Diffusivity,ocean_vertical_momentum_diffusivity,m2 s-1
difvmto,Ocean Vertical Momentum Diffusivity Due to Tides,ocean_vertical_momentum_diffusivity_due_to_tides,m2 s-1
difvso,Ocean Vertical Salt Diffusivity,ocean_vertical_salt_diffusivity,m2 s-1
difvtrbo,Ocean Vertical Tracer Diffusivity Due to Background,ocean_vertical_tracer_diffusivity_due_to_background,m2 s-1
difvtrto,Ocean Vertical Tracer Diffusivity Due to Tides,ocean_vertical_tracer_diffusivity_due_to_tides,m2 s-1
dispkevfo,Ocean Kinetic Energy Dissipation per Unit Area Due to Vertical Friction,ocean_kinetic_energy_dissipation_per_unit_area_due_to _vertical_friction,W m-2
dispkexyfo,Ocean Kinetic Energy Dissipation per Unit Area Due to XY Friction,ocean_kinetic_energy_dissipation_per_unit_area_due_to _xy_friction,W m-2
dispkexyfo2d,Ocean Kinetic Energy Dissipation per Unit Area Due to XY Friction,ocean_kinetic_energy_dissipation_per_unit_area_due_to _xy_friction,W m-2
dissi13c,Dissolved Inorganic Carbon-13 Concentration,mole_concentration_of_dissolved_inorganic_13C_in_sea _water,mol m-3
dissi13cos,Surface Dissolved Inorganic Carbon-13 Concentration,mole_concentration_of_dissolved_inorganic_13C_in_sea _water,mol m-3
dissi14c,Dissolved Inorganic Carbon-14 Concentration,mole_concentration_of_dissolved_inorganic_14C_in_sea _water,mol m-3
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,mole_concentration_of_dissolved_inorganic_14C_in_sea _water,mol m-3
dissi14cabioos,Surface Abiotic Dissolved Inorganic Carbon-14 Concentration,mole_concentration_of_dissolved_inorganic_14C_in_sea _water,mol m-3
dissic,Dissolved Inorganic Carbon Concentration,mole_concentration_of_dissolved_inorganic_carbon_in_sea _water,mol m-3
dissicabio,Abiotic Dissolved Inorganic Carbon Concentration,mole_concentration_of_dissolved_inorganic_carbon _abiotic_analogue_in_sea_water,mol m-3
dissicabioos,Surface Abiotic Dissolved Inorganic Carbon Concentration,mole_concentration_of_dissolved_inorganic_carbon _abiotic_analogue_in_sea_water,mol m-3
dissicnat,Natural Dissolved Inorganic Carbon Concentration,mole_concentration_of_dissolved_inorganic_carbon _natural_analogue_in_sea_water,mol m-3
dissicnatos,Surface Natural Dissolved Inorganic Carbon Concentration,mole_concentration_of_dissolved_inorganic_carbon _natural_analogue_in_sea_water,mol m-3
dissicos,Surface Dissolved Inorganic Carbon Concentration,mole_concentration_of_dissolved_inorganic_carbon_in_sea _water,mol m-3
dissoc,Dissolved Organic Carbon Concentration,mole_concentration_of_dissolved_organic_carbon_in_sea _water,mol m-3
